{Par}虹のアミュレット（赤）を{/n}手に入れた！{/n},{Par}获得了彩虹护身符（赤）！{/n}{/n}
集めると いいことあるかも？,收集起来也许会有好事发生？
{Par}虹のアミュレット（だいだい）を{/n}手に入れた！{/n},{Par}获得了彩虹护身符（橙）！{/n}{/n}
集めると いいことあるかも？,收集起来也许会有好事发生？
{Par}虹のアミュレット（黄）を{/n}手に入れた！{/n},{Par}获得了彩虹护身符（黄）！{/n}{/n}
集めると いいことあるかも？,收集起来也许会有好事发生？
{Par}虹のアミュレット（緑）を{/n}手に入れた！{/n},{Par}获得了彩虹护身符（绿）！{/n}{/n}
集めると いいことあるかも？,收集起来也许会有好事发生？
{Par}虹のアミュレット（青）を{/n}手に入れた！{/n},{Par}获得了彩虹护身符（青）！{/n}{/n}
集めると いいことあるかも？,收集起来也许会有好事发生？
{Par}虹のアミュレット（あい色）を{/n}手に入れた！{/n},{Par}获得了彩虹护身符（蓝）！{/n}{/n}
集めると いいことあるかも？,收集起来也许会有好事发生？
{Par}虹のアミュレット（むらさき）を{/n}手に入れた！{/n},{Par}获得了彩虹护身符（紫）！{/n}{/n}
集めると いいことあるかも？,收集起来也许会有好事发生？
{Par}大宝石を手に入れた！{/n},{Par}获得了大宝石！{/n}
宝石 ５０個分だ！{/n},相当于50个宝石！{/n}
{Par}元気のくすりを手に入れた！{/n},{Par}获得了元气药水！{/n}
これを使えば ばっちり回復！{/n},使用后可完全恢复状态！{/n}
{Par}まほうのくすりを手に入れた！{/n},{Par}获得了魔法药水！{/n}
これを使えば ＭＰが全回復！{/n},使用后可完全恢复ＭＰ！{/n}
{Par}元気のくすりを手に入れた！{/n},{Par}获得了元气药水！{/n}
これを使えば ばっちり回復！{/n},使用后可完全恢复状态！{/n}
だけど それは もう持っているので宝箱に もどした。{/n},但因为已经拥有、所以放回了宝箱。{/n}
{Par}まほうのくすりを手に入れた！{/n},{Par}获得了魔法药水！{/n}
これを使えば ＭＰが全回復！{/n},使用后可完全恢复ＭＰ！{/n}
だけど それは もう持っているので宝箱に もどした。{/n},但因为已经拥有、所以放回了宝箱。{/n}
